Date,Austria,Belgium,Croatia,Finland,France,Germany,Italy,Russia,Spain,Sweden,Switzerland,UK
2020.01.24,,,,,3,,,,,,,
2020.01.25,,,,,,,,,,,,
2020.01.26,,,,,,,,,,,,
2020.01.27,,,,,,1,,,,,,
2020.01.28,,,,,1,3,,,,,,
2020.01.29,,,,1,1,,,,,,,
2020.01.30,,,,,1,1,,,,,,
2020.01.31,,,,,,2,2,2,1,1,,2
2020.02.01,,,,,,1,,,,,,
2020.02.02,,,,,,2,,,,,,
2020.02.03,,,,,,2,,,,,,
2020.02.04,,1,,,,,,,,,,
2020.02.05,,,,,,,,,,,,
2020.02.06,,,,,,1,1,,,,,1
2020.02.07,,,,,,,,,,,,
2020.02.08,,,,,5,1,,,,,,
2020.02.09,,,,,,,,,1,,,5
2020.02.10,,,,,,,,,,,,
2020.02.11,,,,,,2,,,,,,
2020.02.12,,,,,,,,,,,,1
2020.02.13,,,,,,,,,,,,
2020.02.14,,,,,,,,,,,,
2020.02.15,,,,,1,,,,,,,
2020.02.16,,,,,,,,,,,,
2020.02.17,,,,,,,,,,,,
2020.02.18,,,,,,,,,,,,
2020.02.19,,,,,,,,,,,,
2020.02.20,,,,,,,,,,,,
2020.02.21,,,,,,,16,,,,,
2020.02.22,,,,,,,60,,,,,
2020.02.23,,,,,,,53,,,,,4
2020.02.24,,,,,,,91,,,,,
2020.02.25,2,,1,,,2,60,,,,1,
Since 24 Jan,2,1,1,1,12,18,283,2,2,1,1,13
Deaths:,,,,,1,,7,,,,,
